A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age
2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,6,3.0,4.0,3.0,1,,16
2.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,1.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,2,4.0,3.0,3.0,2,,18
5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,2,5.0,5.0,2.0,2,,17
4.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,1.0,3.0,3,4.0,3.0,5.0,2,,17
2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,3,4.0,3.0,3.0,1,,17
6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,3.0,2.0,1.0,6.0,5.0,6.0,3.0,5.0,2.0,2.0,3.0,4.0,3,5.0,6.0,1.0,2,3.0,21
2.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,2,5.0,6.0,1.0,1,,18
4.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,2.0,1.0,6.0,3.0,2.0,6.0,4.0,3.0,2,4.0,5.0,3.0,1,2.0,19
4.0,3.0,6.0,3.0,3.0,6.0,6.0,3.0,4.0,5.0,5.0,3.0,,4.0,3.0,5.0,5.0,2.0,3.0,3.0,6.0,6,6.0,6.0,1.0,1,1.0,19
2.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,1,5.0,5.0,2.0,2,,17
4.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,3,5.0,6.0,3.0,1,1.0,21
2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,,4.0,6,4.0,5.0,4.0,1,,16
5.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2,4.0,5.0,2.0,2,,16
5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,3,4.0,4.0,4.0,1,,16
4.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,2,5.0,5.0,5.0,1,1.0,17
4.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6,6.0,3.0,2.0,1,,17
4.0,6.0,6.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1,5.0,6.0,3.0,2,,17
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,1,4.0,5.0,4.0,1,,17
4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,1.0,2.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,2.0,4.0,2,2.0,4.0,2.0,2,,16
4.0,4.0,6.0,5.0,5.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,4.0,1,5.0,3.0,2.0,2,,17
5.0,4.0,2.0,1.0,2.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,1.0,3.0,3.0,2.0,1.0,6.0,1,3.0,2.0,4.0,1,,17
1.0,6.0,6.0,1.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,6.0,5.0,1,6.0,6.0,2.0,2,,17
1.0,5.0,6.0,5.0,6.0,4.0,3.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1,5.0,5.0,2.0,1,5.0,68
2.0,6.0,5.0,6.0,5.0,3.0,5.0,6.0,3.0,6.0,2.0,2.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,1,5.0,6.0,1.0,2,2.0,27
4.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,5.0,6.0,2.0,3.0,3.0,1.0,1.0,6.0,2,5.0,6.0,2.0,1,1.0,18
1.0,6.0,6.0,1.0,6.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,2.0,3.0,1.0,2.0,1.0,6.0,4,5.0,5.0,3.0,2,3.0,20
2.0,4.0,4.0,4.0,3.0,6.0,5.0,6.0,1.0,1.0,2.0,4.0,4.0,2.0,6.0,3.0,3.0,5.0,3.0,2.0,5.0,2,6.0,6.0,1.0,2,5.0,51
2.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,6.0,6.0,6.0,4.0,4.0,5.0,2.0,3.0,6.0,1,6.0,4.0,3.0,2,,14
2.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,2.0,6.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,4,5.0,4.0,1.0,2,3.0,33
4.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,2.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,4,6.0,5.0,1.0,2,3.0,18
1.0,6.0,5.0,6.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,3,3.0,6.0,5.0,2,,17
2.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,5.0,2,5.0,5.0,2.0,2,3.0,41
1.0,5.0,6.0,5.0,4.0,1.0,5.0,6.0,4.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,6.0,6,5.0,6.0,1.0,1,5.0,23
2.0,4.0,5.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,5,5.0,4.0,2.0,2,,17
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,,2.0,1.0,2.0,2.0,4.0,3,5.0,5.0,3.0,1,3.0,20
5.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5,4.0,4.0,3.0,1,3.0,23
1.0,6.0,4.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,5,4.0,5.0,3.0,1,3.0,20
1.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5,4.0,5.0,2.0,1,3.0,21
1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1,6.0,6.0,1.0,1,,30
1.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1,6.0,6.0,1.0,2,5.0,48
1.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3,2.0,5.0,2.0,2,3.0,40
5.0,4.0,3.0,6.0,4.0,5.0,2.0,5.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,,3.0,3,2.0,2.0,5.0,2,4.0,27
1.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3,5.0,4.0,3.0,1,1.0,18
5.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5,4.0,4.0,4.0,1,4.0,20
